Country,Regional indicator,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (2.33) + residual
Lebanon,Middle East and North Africa,5.129,1.122678638,0.641836703,0.761709571,0.262280792,0.236933082,0.030606575,2.073390722
Portugal,Western Europe,5.123,1.276074409,0.943668902,0.793625772,0.447265118,0.116906412,0.015205773,1.530148745
Macedonia,Central and Eastern Europe,5.121,1.019297957,0.782356858,0.64737922,0.276682049,0.235072523,0.070470847,2.089467525
Vietnam,Southeast Asia,5.061,0.740374327,0.79116708,0.661565065,0.559541166,0.250752568,0.115562074,1.941796303
Somaliland region,Sub-Saharan Africa,5.057,0.255577445,0.758623481,0.331076115,0.391295016,0.514790654,0.367940843,2.438010931
Tunisia,Middle East and North Africa,5.045,0.977238595,0.431648046,0.595766008,0.235527888,0.039361522,0.081698492,2.684131384
Greece,Western Europe,5.033,1.248862028,0.754731655,0.800289333,0.058221195,,0.041272469,2.129441738
Tajikistan,Commonwealth of Independent States,4.996,0.488349199,0.756024659,0.531185448,0.434081018,0.259979695,0.135088935,2.391058683
Mongolia,East Asia,4.907,0.988527238,1.089830875,0.554693222,0.35971877,0.345385551,0.032850172,1.535856962
Laos,Southeast Asia,4.876,0.680423439,0.549695015,0.382905632,0.521675408,0.43078813,0.224229053,2.086368084
Nigeria,Sub-Saharan Africa,4.875,0.752163231,0.644979417,0.05107902,0.278538823,0.232186615,0.030501828,2.885864258
Honduras,Latin America and Caribbean,4.871,0.694292605,0.755958438,0.583828628,0.267550528,0.204403043,0.069061995,2.295514584
Iran,Middle East and North Africa,4.813,1.11757791,0.38857168,0.642323375,0.225437149,0.385382473,0.055696428,1.998172283
Zambia,Sub-Saharan Africa,4.795,0.612021744,0.637601912,0.235732168,0.42661646,0.17865707,0.114790618,2.589914799
Nepal,South Asia,4.793,0.446257055,0.696985006,0.500729203,0.370115995,0.381596237,0.070081405,2.326944351
Palestinian Territories,Middle East and North Africa,4.754,0.670235455,0.716294169,0.568437994,0.177438766,0.111536279,0.106133856,2.403640032
Albania,Central and Eastern Europe,4.655,0.955302894,0.501627386,0.730069757,0.318660259,0.168395013,0.053009737,1.92815876
Bangladesh,South Asia,4.643,0.541766882,0.247490913,0.529888511,0.397775203,0.191324383,0.12583366,2.609042645
Sierra Leone,Sub-Saharan Africa,4.635,0.364854157,0.628003418,,0.306851208,0.238972127,0.081962265,3.014021397
Iraq,Middle East and North Africa,4.575,1.07474339,0.592047036,0.510759652,0.248559147,0.195888206,0.136355549,1.816570044
Namibia,Sub-Saharan Africa,4.574,0.932872117,0.703617692,0.34745428,0.486137927,0.077949628,0.103975952,1.921983719
Cameroon,Sub-Saharan Africa,4.513,0.524972677,0.62541908,0.126975924,0.427361518,0.226795286,0.061263487,2.519798756
Ethiopia,Sub-Saharan Africa,4.508,0.292833269,0.37931633,0.34577632,0.36702913,0.295218557,0.171699375,2.65613699
South Africa,Sub-Saharan Africa,4.459,1.024164915,0.960533559,0.18610996,0.424825251,0.136563376,0.084154382,1.642268658
Sri Lanka,South Asia,4.415,0.973177612,0.847829461,0.620068312,0.508171797,0.469782919,0.079638049,0.916807175
India,South Asia,4.404,0.740358531,0.292474449,0.450911433,0.402845562,0.250284731,0.087221779,2.180320024
Myanmar,Southeast Asia,4.395,0.341123313,0.699811459,0.398799539,0.426919222,0.819711149,0.202434525,1.506554604
Egypt,Middle East and North Africa,4.362,0.953951299,0.498131216,0.521161914,0.188465044,0.12706089,0.103929445,1.968951225
Armenia,Commonwealth of Independent States,4.36,0.860859156,0.624768198,0.640833914,0.14037241,0.077928573,0.036157168,1.978635788
Kenya,Sub-Saharan Africa,4.356,0.522671163,0.762397349,0.301471651,0.405755043,0.413277924,0.066859066,1.883261204
Ukraine,Commonwealth of Independent States,4.324,0.872869015,1.014131546,0.586279273,0.12858887,0.203627124,0.018293051,1.500658751
Ghana,Sub-Saharan Africa,4.276,0.631068647,0.493525058,0.296813399,0.409732223,0.212032646,0.032602906,2.200197935
Congo (Kinshasa),Sub-Saharan Africa,4.272,0.056606013,0.806764662,0.188003927,0.15601705,0.254578084,0.060748998,2.749241352
Georgia,Commonwealth of Independent States,4.252,0.8379246,0.192494437,0.64034605,0.324610114,0.067858882,0.31879583,1.870311737
Congo (Brazzaville),Sub-Saharan Africa,4.236,0.771092892,0.477987349,0.282115191,0.379376739,0.120770879,0.09752927,2.106806755
Senegal,Sub-Saharan Africa,4.219,0.44313702,0.77415967,0.404569447,0.310557932,0.19103384,0.116809212,1.978607416
Bulgaria,Central and Eastern Europe,4.217,1.113064647,0.925417423,0.67805624,0.212191105,0.127929702,0.00615381,1.153767347
Mauritania,Sub-Saharan Africa,4.201,0.613908052,0.841419697,0.286394596,0.126799494,0.226863608,0.179548815,1.92630291
Zimbabwe,Sub-Saharan Africa,4.193,0.350409836,0.714784801,0.159500897,0.254289746,0.185030311,0.085816585,2.442697525
Malawi,Sub-Saharan Africa,4.156,0.087093957,0.147002205,0.293644875,0.414301723,0.309678584,0.075636759,2.828585148
Sudan,Sub-Saharan Africa,4.139,0.630690753,0.819282651,0.29759115,,0.18077454,0.100387059,2.109946728
Gabon,Sub-Saharan Africa,4.121,1.158508897,0.723678648,0.349404246,0.280975461,0.062437054,0.093141817,1.453323841
Mali,Sub-Saharan Africa,4.073,0.312924176,0.863327265,0.163471952,0.275439262,0.210641325,0.13646628,2.110868931
Haiti,Latin America and Caribbean,4.028,0.340972722,0.295613825,0.274940819,0.120723948,0.479578078,0.144757867,2.371160507
Botswana,Sub-Saharan Africa,3.974,1.094257355,0.891864955,0.347515285,0.440892041,0.124251723,0.10769476,0.967406034
Comoros,Sub-Saharan Africa,3.956,0.275094002,0.603230715,0.299808353,0.154117793,0.182702526,0.184365198,2.256321669
Ivory Coast,Sub-Saharan Africa,3.916,0.55506587,0.575758815,0.044759069,0.406628996,0.203382105,0.155298561,1.974778414
Cambodia,Southeast Asia,3.907,0.556039333,0.537498176,0.424944222,0.588519156,0.403388411,0.080922894,1.31573081
Angola,Sub-Saharan Africa,3.866,0.847309828,0.663659394,0.049912684,0.005886351,0.120707437,0.084338747,2.094593525
Niger,Sub-Saharan Africa,3.856,0.1327025,0.605297446,0.261615485,0.3804079,0.209700525,0.171763912,2.094687462
South Sudan,Sub-Saharan Africa,3.832,0.393936366,0.185187027,0.157813624,0.196624979,0.258987993,0.13015157,2.509290695
Chad,Sub-Saharan Africa,3.763,0.422141939,0.631775618,0.038235091,0.128071576,0.186667085,0.049524732,2.30637455
Burkina Faso,Sub-Saharan Africa,3.739,0.319952011,0.630537152,0.212966383,0.333697379,0.243525133,0.125326842,1.873191595
Uganda,Sub-Saharan Africa,3.739,0.347185254,0.909812272,0.196249619,0.436530262,0.271018267,0.064420924,1.514159441
Yemen,Middle East and North Africa,3.724,0.57938844,0.474931449,0.310475528,0.22869572,0.098209225,0.058922391,1.972949982
Madagascar,Sub-Saharan Africa,3.695,0.279543608,0.46115467,0.371090263,0.13683778,0.220397666,0.075058505,2.150754929
Tanzania,Sub-Saharan Africa,3.666,0.471546322,0.776233137,0.356999546,0.31760186,0.314717621,0.050989658,1.377691031
Liberia,Sub-Saharan Africa,3.622,0.107063256,0.503526747,0.231654659,0.257483155,0.2406293,0.048521545,2.232842445
Guinea,Sub-Saharan Africa,3.607,0.224151656,0.310899138,0.188288182,0.309527636,0.299137384,0.119202852,2.156035423
Rwanda,Sub-Saharan Africa,3.515,0.328461111,0.615862489,0.318650216,0.543197215,0.235517174,0.505208671,0.96819067
Benin,Sub-Saharan Africa,3.484,0.394992262,0.104188949,0.210283667,0.397465467,0.201800823,0.066805065,2.108121872
Afghanistan,South Asia,3.36,0.382265657,0.110368498,0.173436046,0.164304629,0.312679827,0.071116321,2.145581484
Togo,Sub-Saharan Africa,3.303,0.281226516,,0.248112172,0.346780658,0.175168142,0.115871899,2.135404587
Syria,Middle East and North Africa,3.069,0.74718523,0.148658514,0.62993592,0.069124863,0.483968765,0.172329709,0.817891359
Burundi,Sub-Saharan Africa,2.905,0.068309732,0.234424442,0.157467261,0.04320135,0.202902168,0.094187506,2.10404253
